unique_id,ds,y
series_1,2023-01-01,20.000431060791016
series_1,2023-01-02,20.184560775756836
series_1,2023-01-03,20.064050674438477
series_1,2023-01-04,19.928293228149414
series_1,2023-01-05,20.160865783691406
series_1,2023-01-06,20.05292320251465
series_1,2023-01-07,20.501049041748047
series_1,2023-01-08,21.029075622558594
series_1,2023-01-09,20.467727661132812
series_1,2023-01-10,20.502832412719727
series_1,2023-01-11,20.97144317626953
series_1,2023-01-12,21.00490951538086
series_1,2023-01-13,20.99689483642578
series_1,2023-01-14,20.714336395263672
series_1,2023-01-15,21.10976219177246
series_1,2023-01-16,21.443357467651367
series_1,2023-01-17,20.809526443481445
series_1,2023-01-18,21.1998348236084
series_1,2023-01-19,20.774572372436523
series_1,2023-01-20,21.068662643432617
series_1,2023-01-21,20.955392837524414
series_1,2023-01-22,21.597719192504883
series_1,2023-01-23,21.316394805908203
series_1,2023-01-24,21.9349422454834
series_1,2023-01-25,21.974863052368164
series_1,2023-01-26,21.934574127197266
series_1,2023-01-27,21.199134826660156
series_1,2023-01-28,21.97145652770996
series_1,2023-01-29,22.223024368286133
series_1,2023-01-30,22.359657287597656
series_1,2023-01-31,21.864452362060547
series_1,2023-02-01,22.312786102294922
series_1,2023-02-02,22.217517852783203
series_1,2023-02-03,22.35690689086914
series_1,2023-02-04,23.0913143157959
series_1,2023-02-05,22.517362594604492
series_1,2023-02-06,22.868616104125977
series_1,2023-02-07,23.269535064697266
series_1,2023-02-08,22.83574104309082
series_1,2023-02-09,23.080904006958008
series_1,2023-02-10,23.238662719726562
series_1,2023-02-11,23.302324295043945
series_1,2023-02-12,22.931230545043945
series_1,2023-02-13,23.466650009155273
series_1,2023-02-14,23.995588302612305
series_1,2023-02-15,23.058500289916992
series_1,2023-02-16,23.980783462524414
series_1,2023-02-17,23.801774978637695
series_1,2023-02-18,23.61548614501953
series_1,2023-02-19,24.620145797729492
series_1,2023-02-20,24.26679039001465
series_1,2023-02-21,23.660249710083008
series_1,2023-02-22,24.186080932617188
series_1,2023-02-23,24.44184112548828
series_1,2023-02-24,24.253925323486328
series_1,2023-02-25,24.639019012451172
series_1,2023-02-26,24.45671844482422
series_1,2023-02-27,24.793535232543945
series_1,2023-02-28,25.143482208251953
series_1,2023-03-01,24.483516693115234
series_1,2023-03-02,24.871097564697266
series_1,2023-03-03,24.717844009399414
series_1,2023-03-04,25.00454330444336
series_1,2023-03-05,24.624483108520508
series_1,2023-03-06,24.91724395751953
series_1,2023-03-07,25.131332397460938
series_1,2023-03-08,25.594566345214844
series_1,2023-03-09,25.760828018188477
series_1,2023-03-10,24.97676658630371
series_1,2023-03-11,25.24187469482422
series_1,2023-03-12,25.826416015625
series_1,2023-03-13,24.98265266418457
series_1,2023-03-14,25.597890853881836
series_1,2023-03-15,25.805950164794922
series_1,2023-03-16,26.359954833984375
series_1,2023-03-17,26.241291046142578
series_1,2023-03-18,25.96547508239746
series_1,2023-03-19,26.03099822998047
series_1,2023-03-20,26.15243148803711
series_1,2023-03-21,26.853235244750977
series_1,2023-03-22,26.25019073486328
series_1,2023-03-23,26.37371063232422
series_1,2023-03-24,26.68340492248535
series_1,2023-03-25,26.59773063659668
series_1,2023-03-26,26.650949478149414
series_1,2023-03-27,26.410076141357422
series_1,2023-03-28,26.875967025756836
series_1,2023-03-29,26.804744720458984
series_1,2023-03-30,27.448144912719727
series_1,2023-03-31,27.34857940673828
series_1,2023-04-01,27.191551208496094
series_1,2023-04-02,27.513931274414062
series_1,2023-04-03,27.241046905517578
series_1,2023-04-04,27.808244705200195
series_1,2023-04-05,27.518110275268555
series_1,2023-04-06,27.804183959960938
series_1,2023-04-07,27.228187561035156
series_1,2023-04-08,27.881338119506836
series_1,2023-04-09,27.249128341674805
series_1,2023-04-10,27.2076358795166
series_1,2023-04-11,27.8934326171875
series_1,2023-04-12,27.765026092529297
series_1,2023-04-13,28.217418670654297
series_1,2023-04-14,29.025665283203125
series_2,2023-01-01,0.0
series_2,2023-01-02,0.0
series_2,2023-01-03,0.0
series_2,2023-01-04,0.0
series_2,2023-01-05,0.0
series_2,2023-01-06,0.0
series_2,2023-01-07,0.0
series_2,2023-01-08,18.780038833618164
series_2,2023-01-09,0.0
series_2,2023-01-10,23.08877182006836
series_2,2023-01-11,0.0
series_2,2023-01-12,0.0
series_2,2023-01-13,21.278968811035156
series_2,2023-01-14,0.0
series_2,2023-01-15,0.0
series_2,2023-01-16,21.056583404541016
series_2,2023-01-17,0.0
series_2,2023-01-18,0.0
series_2,2023-01-19,0.0
series_2,2023-01-20,0.0
series_2,2023-01-21,0.0
series_2,2023-01-22,21.683881759643555
series_2,2023-01-23,0.0
series_2,2023-01-24,21.226716995239258
series_2,2023-01-25,0.0
series_2,2023-01-26,0.0
series_2,2023-01-27,0.0
series_2,2023-01-28,0.0
series_2,2023-01-29,0.0
series_2,2023-01-30,0.0
series_2,2023-01-31,0.0
series_2,2023-02-01,0.0
series_2,2023-02-02,0.0
series_2,2023-02-03,0.0
series_2,2023-02-04,0.0
series_2,2023-02-05,0.0
series_2,2023-02-06,0.0
series_2,2023-02-07,0.0
series_2,2023-02-08,0.0
series_2,2023-02-09,0.0
series_2,2023-02-10,0.0
series_2,2023-02-11,18.59916877746582
series_2,2023-02-12,0.0
series_2,2023-02-13,0.0
series_2,2023-02-14,0.0
series_2,2023-02-15,0.0
series_2,2023-02-16,0.0
series_2,2023-02-17,0.0
series_2,2023-02-18,0.0
series_2,2023-02-19,0.0
series_2,2023-02-20,0.0
series_2,2023-02-21,0.0
series_2,2023-02-22,0.0
series_2,2023-02-23,22.893075942993164
series_2,2023-02-24,23.076801300048828
series_2,2023-02-25,24.610811233520508
series_2,2023-02-26,0.0
series_2,2023-02-27,0.0
series_2,2023-02-28,20.914262771606445
series_2,2023-03-01,0.0
series_2,2023-03-02,0.0
series_2,2023-03-03,0.0
series_2,2023-03-04,0.0
series_2,2023-03-05,0.0
series_2,2023-03-06,0.0
series_2,2023-03-07,0.0
series_2,2023-03-08,0.0
series_2,2023-03-09,0.0
series_2,2023-03-10,22.072832107543945
series_2,2023-03-11,24.543441772460938
series_2,2023-03-12,0.0
series_2,2023-03-13,0.0
series_2,2023-03-14,0.0
series_2,2023-03-15,0.0
series_2,2023-03-16,23.16643524169922
series_2,2023-03-17,0.0
series_2,2023-03-18,0.0
series_2,2023-03-19,0.0
series_2,2023-03-20,0.0
series_2,2023-03-21,0.0
series_2,2023-03-22,22.988889694213867
series_2,2023-03-23,26.057939529418945
series_2,2023-03-24,21.889503479003906
series_2,2023-03-25,0.0
series_2,2023-03-26,0.0
series_2,2023-03-27,26.138212203979492
series_2,2023-03-28,0.0
series_2,2023-03-29,24.833696365356445
series_2,2023-03-30,0.0
series_2,2023-03-31,23.22029685974121
series_2,2023-04-01,0.0
series_2,2023-04-02,22.495986938476562
series_2,2023-04-03,0.0
series_2,2023-04-04,0.0
series_2,2023-04-05,0.0
series_2,2023-04-06,0.0
series_2,2023-04-07,0.0
series_2,2023-04-08,0.0
series_2,2023-04-09,21.730003356933594
series_2,2023-04-10,0.0
series_2,2023-04-11,24.01337432861328
series_2,2023-04-12,0.0
series_2,2023-04-13,0.0
series_2,2023-04-14,0.0
series_3,2023-01-01,25.966569900512695
series_3,2023-01-02,30.345985412597656
series_3,2023-01-03,30.67837142944336
series_3,2023-01-04,28.055797576904297
series_3,2023-01-05,23.720064163208008
series_3,2023-01-06,21.180158615112305
series_3,2023-01-07,21.294336318969727
series_3,2023-01-08,25.882301330566406
series_3,2023-01-09,29.481958389282227
series_3,2023-01-10,31.316932678222656
series_3,2023-01-11,27.784114837646484
series_3,2023-01-12,24.119098663330078
series_3,2023-01-13,21.8875789642334
series_3,2023-01-14,21.934045791625977
series_3,2023-01-15,25.6992130279541
series_3,2023-01-16,30.004873275756836
series_3,2023-01-17,30.873624801635742
series_3,2023-01-18,27.672607421875
series_3,2023-01-19,24.061037063598633
series_3,2023-01-20,22.133115768432617
series_3,2023-01-21,21.961790084838867
series_3,2023-01-22,25.898571014404297
series_3,2023-01-23,29.38669776916504
series_3,2023-01-24,31.0341854095459
series_3,2023-01-25,27.545934677124023
series_3,2023-01-26,23.277118682861328
series_3,2023-01-27,21.765193939208984
series_3,2023-01-28,21.63811683654785
series_3,2023-01-29,26.540681838989258
series_3,2023-01-30,30.67133331298828
series_3,2023-01-31,31.004302978515625
series_3,2023-02-01,28.44611358642578
series_3,2023-02-02,24.806705474853516
series_3,2023-02-03,21.026996612548828
series_3,2023-02-04,21.794342041015625
series_3,2023-02-05,25.323392868041992
series_3,2023-02-06,29.930015563964844
series_3,2023-02-07,31.61421012878418
series_3,2023-02-08,28.64920425415039
series_3,2023-02-09,23.359521865844727
series_3,2023-02-10,20.697668075561523
series_3,2023-02-11,21.838756561279297
series_3,2023-02-12,26.14615249633789
series_3,2023-02-13,29.806503295898438
series_3,2023-02-14,30.981861114501953
series_3,2023-02-15,28.317781448364258
series_3,2023-02-16,23.681203842163086
series_3,2023-02-17,21.10527229309082
series_3,2023-02-18,22.194133758544922
series_3,2023-02-19,25.95802879333496
series_3,2023-02-20,30.16091537475586
series_3,2023-02-21,31.810073852539062
series_3,2023-02-22,28.465404510498047
series_3,2023-02-23,23.858484268188477
series_3,2023-02-24,20.282299041748047
series_3,2023-02-25,22.28482437133789
series_3,2023-02-26,25.026668548583984
series_3,2023-02-27,29.20464515686035
series_3,2023-02-28,31.30196189880371
series_3,2023-03-01,28.522523880004883
series_3,2023-03-02,23.755615234375
series_3,2023-03-03,20.27035140991211
series_3,2023-03-04,21.905166625976562
series_3,2023-03-05,25.6606502532959
series_3,2023-03-06,30.22757911682129
series_3,2023-03-07,32.003501892089844
series_3,2023-03-08,28.277877807617188
series_3,2023-03-09,23.44091796875
series_3,2023-03-10,20.540082931518555
series_3,2023-03-11,22.062803268432617
series_3,2023-03-12,25.911617279052734
series_3,2023-03-13,29.333406448364258
series_3,2023-03-14,30.93281364440918
series_3,2023-03-15,27.593944549560547
series_3,2023-03-16,24.386615753173828
series_3,2023-03-17,21.656679153442383
series_3,2023-03-18,22.63323402404785
series_3,2023-03-19,25.762964248657227
series_3,2023-03-20,30.16643524169922
series_3,2023-03-21,30.80860710144043
series_3,2023-03-22,27.97498321533203
series_3,2023-03-23,23.661012649536133
series_3,2023-03-24,20.475502014160156
series_3,2023-03-25,21.36890983581543
series_3,2023-03-26,26.397197723388672
series_3,2023-03-27,29.813541412353516
series_3,2023-03-28,30.98284912109375
series_3,2023-03-29,28.67026710510254
series_3,2023-03-30,22.963973999023438
series_3,2023-03-31,20.733293533325195
series_3,2023-04-01,22.178518295288086
series_3,2023-04-02,26.196060180664062
series_3,2023-04-03,29.720605850219727
series_3,2023-04-04,31.389225006103516
series_3,2023-04-05,28.274599075317383
series_3,2023-04-06,23.2238712310791
series_3,2023-04-07,20.659982681274414
series_3,2023-04-08,22.493593215942383
series_3,2023-04-09,26.231943130493164
series_3,2023-04-10,28.959619522094727
series_3,2023-04-11,31.548498153686523
series_3,2023-04-12,28.468402862548828
series_3,2023-04-13,24.502222061157227
series_3,2023-04-14,20.933509826660156
series_4,2023-01-01,27.521469116210938
series_4,2023-01-02,23.367713928222656
series_4,2023-01-03,41.68464660644531
series_4,2023-01-04,28.12272834777832
